card,id_card_holder
180098539019105,11
213193946980303,10
376027549341849,12
30063281385429,8
30078299053512,3
30142966699187,24
30181963913340,9
344119623920892,18
3516952396080247,7
3517111172421930,1
3535651398328201,20
3561072557118696,13
3561954487988605,19
3581345943543942,24
3582198969197591,6
372414832802279,25
4027907156459098,11
4150721559116778,23
4159836738768855913,6
4165305432349489280,10
4188164051171486,23
4263694062533017,4
4268491956169254,5
4276466390111,21
4319653513507,25
4498002758300,18
4506405265172173,20
4539990688484983,7
4586962917519654607,20
4644008655884311378,11
4681896441519,24
4711773125020499,13
4723783028106084756,15
4741042733274,23
4743204091443101526,19
4761049645711555811,1
4834483169177062,8
4866761290278198714,2
4962915017023706562,10
4263694062533017,5
501809222273,22
501879657465,12
503842928916,16
5175947111814778,14
5297187379298983,12
5361779664174555,19
5500708021555307,16
5570600642865857,16
584226564303,4
5135837688671496,13
6011987562414062,17
6500236164848279,15
675911140852,2
